Date,Templeton Em Mkts Dyn Inc A MDis HKD
8/15/20,8.29
8/16/20,8.29
8/17/20,8.32
8/18/20,8.33
8/19/20,8.29
8/20/20,8.23
8/21/20,8.29
8/22/20,8.29
8/23/20,8.29
8/24/20,8.36
8/25/20,8.42
8/26/20,8.45
8/27/20,8.4
8/28/20,8.45
8/29/20,8.45
8/30/20,8.45
8/31/20,8.33
9/1/20,8.43
9/2/20,8.43
9/3/20,8.34
9/4/20,8.32
9/5/20,8.32
9/6/20,8.32
9/7/20,8.31
9/8/20,8.2
9/9/20,8.27
9/10/20,8.19
9/11/20,8.22
9/12/20,8.22
9/13/20,8.22
9/14/20,8.32
9/15/20,8.37
9/16/20,8.38
9/17/20,8.35
9/18/20,8.31
9/19/20,8.31
9/20/20,8.31
9/21/20,8.24
9/22/20,8.24
9/23/20,8.16
9/24/20,8.16
9/25/20,8.16
9/26/20,8.16
9/27/20,8.16
9/28/20,8.2
9/29/20,8.16
9/30/20,8.24
10/1/20,8.26
10/2/20,8.22
10/3/20,8.22
10/4/20,8.22
10/5/20,8.28
10/6/20,8.27
10/7/20,8.33
10/8/20,8.32
10/9/20,8.36
10/10/20,8.36
10/11/20,8.36
10/12/20,8.41
10/13/20,8.38
10/14/20,8.35
10/15/20,8.31
10/16/20,8.32
10/17/20,8.32
10/18/20,8.32
10/19/20,8.31
10/20/20,8.37
10/21/20,8.39
10/22/20,8.38
10/23/20,8.4
10/24/20,8.4
10/25/20,8.4
10/26/20,8.35
10/27/20,8.38
10/28/20,8.28
10/29/20,8.33
10/30/20,8.26
10/31/20,8.26
11/1/20,8.26
11/2/20,8.31
11/3/20,8.32
11/4/20,8.44
