Date,Harvest China A Research Select A HKD
11/28/16,108.41
11/29/16,108.41
11/30/16,108.41
12/1/16,108.41
12/2/16,108.41
12/3/16,108.41
12/4/16,108.41
12/5/16,108.41
12/6/16,108.41
12/7/16,108.41
12/8/16,108.41
12/9/16,108.41
12/10/16,108.41
12/11/16,108.41
12/12/16,108.41
12/13/16,108.41
12/14/16,108.41
12/15/16,108.41
12/16/16,108.41
12/17/16,108.41
12/18/16,108.41
12/19/16,108.41
12/20/16,108.41
12/21/16,108.41
12/22/16,108.41
12/23/16,108.41
12/24/16,108.41
12/25/16,108.41
12/26/16,108.41
12/27/16,108.41
12/28/16,108.41
12/29/16,108.41
12/30/16,108.41
12/31/16,108.41
1/1/17,108.41
1/2/17,108.41
1/3/17,108.41
1/4/17,108.41
1/5/17,108.41
1/6/17,108.41
1/7/17,108.41
1/8/17,108.41
1/9/17,108.41
1/10/17,108.41
1/11/17,108.41
1/12/17,108.41
1/13/17,108.41
1/14/17,108.41
1/15/17,108.41
1/16/17,108.41
1/17/17,108.41
1/18/17,108.41
1/19/17,108.41
1/20/17,108.41
1/21/17,108.41
1/22/17,108.41
1/23/17,108.41
1/24/17,108.41
1/25/17,108.41
1/26/17,108.41
1/27/17,108.41
1/28/17,108.41
1/29/17,108.41
1/30/17,108.41
1/31/17,108.41
2/1/17,108.41
2/2/17,108.41
2/3/17,108.41
2/4/17,108.41
2/5/17,108.41
2/6/17,108.41
2/7/17,108.41
2/8/17,108.41
2/9/17,108.41
2/10/17,108.41
2/11/17,108.41
2/12/17,108.41
2/13/17,108.41
2/14/17,108.41
2/15/17,108.41
2/16/17,108.41
2/17/17,108.41
2/18/17,108.41
2/19/17,108.41
2/20/17,108.41
2/21/17,108.41
2/22/17,108.41
2/23/17,108.41
2/24/17,108.41
2/25/17,108.41
2/26/17,108.41
2/27/17,108.41
2/28/17,108.41
3/1/17,108.41
3/2/17,108.41
3/3/17,108.41
3/4/17,108.41
3/5/17,108.41
3/6/17,108.41
3/7/17,108.41
3/8/17,108.41
3/9/17,108.41
3/10/17,108.41
3/11/17,108.41
3/12/17,108.41
3/13/17,108.41
3/14/17,108.41
3/15/17,108.41
3/16/17,108.41
3/17/17,108.41
3/18/17,108.41
3/19/17,108.41
3/20/17,108.41
3/21/17,108.41
3/22/17,108.41
3/23/17,108.41
3/24/17,108.41
3/25/17,108.41
3/26/17,108.41
3/27/17,108.41
3/28/17,108.41
3/29/17,108.41
3/30/17,108.41
3/31/17,108.41
4/1/17,108.41
4/2/17,108.41
4/3/17,108.41
4/4/17,108.41
4/5/17,108.41
4/6/17,108.41
4/7/17,108.41
