Date,AB Global High Yield AA HKD Inc,CSOP Select US Dollar Bd A HKD Acc,E Fund (HK) HKD Mny Mkt B HKD Acc,Harvest China A Research Select A HKD,AB SICAV I Low Volatility Eq A HKD Acc,CUAM China-Hong Kong Strategy A,E Fund (HK) Select Asia HY Bd A HKD Inc,Harvest China Equity A HKD Acc,Allianz Global Artfcl Intlgc AT HKD,ChinaAMC Select Fixed Inc Allc A HKD Acc,E Fund (HK) China Equity Div A HKD Inc,Harvest China Income A HKD Inc,Allianz Income and Growth AM HKD,Da Cheng China Balanced A (HKD),Franklin Biotechnology Discv A(acc)HKD,Janus Henderson Balanced A2 HKD,Allianz US Short Dur Hi Inc Bd AM HKD,Da Cheng Overseas China Concept A HKD,Franklin Technology A Acc HKD,Templeton Em Mkts Dyn Inc A MDis HKD,Bosera Orient Sun Rise Grt CNH Bd A HKD,E Fund (HK) Grtr Chn Leaders A HKD Acc,Franklin US Government A(acc)HKD
6/22/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6/23/14,0.0,0.0,0.0,0.0022590361445784524,0.0,0.0,0.0,-0.014063926940639293,0.0,0.0,0.0,0.0,0.0,0.006382978723404209,-0.008449004224502121,0.0,0.0,0.0,0.003072196620583778,0.0,0.0,0.0,0.0
6/24/14,0.0,0.0,0.0,0.0034345819469785432,-0.00810320238558282,0.0,0.0,0.006298629121897159,0.0,0.0,0.0,0.0,0.0009496676163343043,0.004228329809724984,0.0018259281801582539,-0.0022091310751104487,0.0,0.0,-0.009954058192955695,0.0,0.0,0.0,0.0
6/25/14,0.0,0.0,0.0,-0.004813349021285607,0.0005228416443370243,0.0,0.0,0.0010125184094256223,0.0,0.0,0.0,0.0,-0.002846299810246644,-0.004210526315789331,0.004252733900364625,0.0022140221402213722,0.0,0.0,0.006187161639597871,0.0,0.0,0.0,0.0
6/26/14,8.465250148148584e-05,0.0,0.0,0.010318142734307756,0.0005878894767783471,0.0,0.0,0.013057471264367848,0.0,0.0,0.0,0.0,0.0009514747859180606,0.010570824524312794,0.003024803387779551,0.0,0.0,0.0,-0.001537279016141424,0.0,0.0,0.0,0.0009017132551847329
6/27/14,0.0005925173522938199,0.0,0.0,0.003297872340425556,0.0024807416111762848,0.0,0.0,0.0009076881183625041,0.0,0.0,0.0,0.0,0.000950570342205248,0.004184100418409997,0.001809408926417344,0.0,0.0,0.0,0.0038491147036181506,0.0,0.0,0.0,0.0
6/28/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6/29/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6/30/14,-0.006598426529058399,0.0,0.0,0.010603329445445953,-6.512112529299952e-05,0.0,0.0,0.005350503310057153,0.0,0.0,0.0,0.0,0.0009496676163343043,0.009374999999999911,0.003010234798314304,0.0,0.0,0.0,0.005368098159509227,0.0,0.0,0.0,0.0009009009009008917
7/1/14,8.515711487677713e-05,0.0,0.0,0.0,0.006642787365678915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00189753320683117,0.0,0.02340936374549818,0.0022091310751104487,0.0,0.0,0.009153318077803174,0.0,0.0,0.0,0.0
7/2/14,-0.0009366485013624359,0.0,0.0,-0.0003147623544224043,-0.0012292165361972307,0.0,0.0,0.01650730651271881,0.0,0.0,0.0,0.0,0.0037878787878786735,0.006191950464396356,0.006451612903225712,0.0,0.0,0.0,-0.0015117157974300355,0.0,0.0,0.0,-0.0009000900090009312
7/3/14,0.0006818375522030795,0.0,0.0,0.004093198992443314,0.004534266096644757,0.0,0.0,0.011003638299760476,0.0,0.0,0.0,0.0,0.0009433962264151496,0.003076923076922977,0.0005827505827507018,0.0014695077149156077,0.0,0.0,0.006056018168054456,0.0,0.0,0.0,-0.0009009009009008917
7/4/14,0.0,0.0,0.0,-0.0006271558482282558,0.0,0.0,0.0,0.0060563503905906035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/5/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/6/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/7/14,0.0006813729665275936,0.0,0.0,-0.004392845936617484,-0.003997936548878034,0.0,0.0,0.0007852032804047671,0.0,0.0,0.0,0.0,0.0009425070688029447,0.0,-0.026208503203261624,-0.0014673514306677848,0.0,0.0,-0.010534236267870534,0.0,0.0,0.0,0.0
7/8/14,0.0006809090135331264,0.0,0.0,0.0035718037608993836,-0.004531917648582295,0.0,0.0,-0.005753639612936956,0.0,0.0,0.0,0.0,-0.005649717514124131,0.004089979550102374,-0.029904306220095656,-0.0022042615723731895,0.0,0.0,-0.021292775665399333,0.0,0.0,0.0,0.0
7/9/14,0.0,0.0,0.0,-0.014341044698000682,0.002016129032258007,0.0,0.0,-0.014905743095133706,0.0,0.0,0.0,0.0,-0.0018939393939395588,-0.009164969450101812,0.010480887792848392,0.0014727540500736325,0.0,0.0,0.006993006993007089,0.0,0.0,0.0,0.0
7/10/14,-0.0013608913838564218,0.0,0.0,-0.009133389974511519,-0.0050626338677224325,0.0,0.0,0.006230529595015577,0.0,0.0,0.0,0.0,-0.000948766603415585,0.0,-0.004881025015253337,-0.0007352941176470562,0.0,0.0,-0.006172839506172867,0.0,0.0,0.0,0.0
7/11/14,0.0006813729665275936,0.0,0.0,0.00471596998928181,0.002087546480527225,0.0,0.0,-0.003095975232198067,0.0,0.0,0.0,0.0,0.0009496676163343043,0.005138746145940232,0.005518087063151489,0.0007358351729211954,0.0,0.0,0.0038819875776396895,0.0,0.0,0.0,0.0
7/12/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/13/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
