Date,CSOP Select US Dollar Bd A HKD Acc
1/19/18,11.2
1/20/18,11.2
1/21/18,11.2
1/22/18,11.2
1/23/18,11.2
1/24/18,11.19
1/25/18,11.2
1/26/18,11.2
1/27/18,11.2
1/28/18,11.2
1/29/18,11.2
1/30/18,11.18
1/31/18,11.19
2/1/18,11.18
2/2/18,11.17
2/3/18,11.17
2/4/18,11.17
2/5/18,11.17
2/6/18,11.14
2/7/18,11.14
2/8/18,11.14
2/9/18,11.12
2/10/18,11.12
2/11/18,11.12
2/12/18,11.11
2/13/18,11.11
2/14/18,11.11
2/15/18,11.11
2/16/18,11.11
2/17/18,11.11
2/18/18,11.11
2/19/18,11.11
2/20/18,11.13
2/21/18,11.12
2/22/18,11.12
2/23/18,11.12
2/24/18,11.12
2/25/18,11.12
2/26/18,11.13
2/27/18,11.14
2/28/18,11.14
3/1/18,11.15
3/2/18,11.14
3/3/18,11.14
3/4/18,11.14
3/5/18,11.14
3/6/18,11.15
3/7/18,11.15
3/8/18,11.15
3/9/18,11.14
3/10/18,11.14
3/11/18,11.14
3/12/18,11.15
3/13/18,11.14
3/14/18,11.13
3/15/18,11.12
3/16/18,11.13
3/17/18,11.13
3/18/18,11.13
3/19/18,11.12
3/20/18,11.1
3/21/18,11.1
3/22/18,11.1
3/23/18,11.09
3/24/18,11.09
3/25/18,11.09
3/26/18,11.08
3/27/18,11.09
3/28/18,11.08
3/29/18,11.09
3/30/18,11.09
3/31/18,11.09
4/1/18,11.09
4/2/18,11.09
4/3/18,11.1
4/4/18,11.1
4/5/18,11.1
4/6/18,11.11
4/7/18,11.11
4/8/18,11.11
4/9/18,11.11
4/10/18,11.12
4/11/18,11.12
4/12/18,11.12
4/13/18,11.12
4/14/18,11.12
4/15/18,11.12
4/16/18,11.11
4/17/18,11.11
4/18/18,11.1
4/19/18,11.08
4/20/18,11.05
4/21/18,11.05
4/22/18,11.05
4/23/18,11.04
4/24/18,11.04
4/25/18,11.02
4/26/18,11.02
4/27/18,11.02
4/28/18,11.02
4/29/18,11.02
4/30/18,11.01
5/1/18,11.01
5/2/18,11.01
5/3/18,10.98
5/4/18,10.97
5/5/18,10.97
5/6/18,10.97
5/7/18,10.97
5/8/18,10.96
5/9/18,10.95
5/10/18,10.95
5/11/18,10.97
5/12/18,10.97
5/13/18,10.97
5/14/18,10.98
5/15/18,10.98
5/16/18,10.97
5/17/18,10.97
5/18/18,10.98
5/19/18,10.98
5/20/18,10.98
5/21/18,10.98
5/22/18,10.98
5/23/18,11.0
5/24/18,11.0
5/25/18,11.02
5/26/18,11.02
5/27/18,11.02
5/28/18,11.02
5/29/18,11.02
5/30/18,10.99
5/31/18,10.98
6/1/18,10.94
6/2/18,10.94
6/3/18,10.94
6/4/18,10.92
6/5/18,10.92
6/6/18,10.92
6/7/18,10.94
6/8/18,10.93
6/9/18,10.93
6/10/18,10.93
6/11/18,10.93
6/12/18,10.93
6/13/18,10.94
6/14/18,10.95
6/15/18,10.96
6/16/18,10.96
6/17/18,10.96
6/18/18,10.96
6/19/18,10.96
6/20/18,10.95
6/21/18,10.95
6/22/18,10.95
6/23/18,10.95
6/24/18,10.95
6/25/18,10.95
6/26/18,10.94
6/27/18,10.92
6/28/18,10.87
6/29/18,10.86
6/30/18,10.86
7/1/18,10.86
7/2/18,10.86
7/3/18,10.84
7/4/18,10.8
7/5/18,10.77
7/6/18,10.73
7/7/18,10.73
7/8/18,10.73
7/9/18,10.73
7/10/18,10.71
7/11/18,10.68
7/12/18,10.68
7/13/18,10.69
7/14/18,10.69
7/15/18,10.69
7/16/18,10.7
7/17/18,10.67
7/18/18,10.69
7/19/18,10.73
7/20/18,10.74
7/21/18,10.74
7/22/18,10.74
7/23/18,10.78
7/24/18,10.81
7/25/18,10.85
7/26/18,10.9
7/27/18,10.91
7/28/18,10.91
7/29/18,10.91
7/30/18,10.92
7/31/18,10.92
8/1/18,10.89
8/2/18,10.88
8/3/18,10.89
8/4/18,10.89
8/5/18,10.89
8/6/18,10.91
8/7/18,10.9
8/8/18,10.9
8/9/18,10.91
8/10/18,10.93
8/11/18,10.93
8/12/18,10.93
8/13/18,10.9
8/14/18,10.91
8/15/18,10.91
8/16/18,10.89
8/17/18,10.9
8/18/18,10.9
8/19/18,10.9
8/20/18,10.9
8/21/18,10.9
8/22/18,10.89
8/23/18,10.88
8/24/18,10.89
8/25/18,10.89
8/26/18,10.89
8/27/18,10.89
8/28/18,10.89
8/29/18,10.89
8/30/18,10.89
8/31/18,10.89
9/1/18,10.89
9/2/18,10.89
9/3/18,10.89
9/4/18,10.89
9/5/18,10.89
9/6/18,10.89
9/7/18,10.89
9/8/18,10.89
9/9/18,10.89
9/10/18,10.89
9/11/18,10.88
9/12/18,10.87
9/13/18,10.87
9/14/18,10.87
9/15/18,10.87
9/16/18,10.87
9/17/18,10.87
9/18/18,10.87
9/19/18,10.87
9/20/18,10.88
9/21/18,10.85
9/22/18,10.85
9/23/18,10.85
9/24/18,10.88
9/25/18,10.88
9/26/18,10.89
9/27/18,10.9
9/28/18,10.92
9/29/18,10.92
9/30/18,10.92
10/1/18,10.92
10/2/18,10.93
10/3/18,10.92
10/4/18,10.92
10/5/18,10.91
10/6/18,10.91
10/7/18,10.91
10/8/18,10.9
10/9/18,10.91
10/10/18,10.92
10/11/18,10.91
10/12/18,10.9
10/13/18,10.9
10/14/18,10.9
10/15/18,10.9
10/16/18,10.89
10/17/18,10.89
10/18/18,10.87
10/19/18,10.84
10/20/18,10.84
10/21/18,10.84
10/22/18,10.85
10/23/18,10.84
10/24/18,10.83
10/25/18,10.8
10/26/18,10.8
10/27/18,10.8
10/28/18,10.8
10/29/18,10.79
10/30/18,10.71
10/31/18,10.66
11/1/18,10.66
11/2/18,10.62
11/3/18,10.62
11/4/18,10.62
11/5/18,10.63
11/6/18,10.64
11/7/18,10.64
11/8/18,10.66
11/9/18,10.66
11/10/18,10.66
11/11/18,10.66
11/12/18,10.65
11/13/18,10.65
11/14/18,10.63
11/15/18,10.61
11/16/18,10.62
11/17/18,10.62
11/18/18,10.62
11/19/18,10.61
11/20/18,10.59
11/21/18,10.58
11/22/18,10.59
11/23/18,10.56
11/24/18,10.56
11/25/18,10.56
11/26/18,10.55
11/27/18,10.59
11/28/18,10.61
11/29/18,10.61
11/30/18,10.62
12/1/18,10.62
12/2/18,10.62
12/3/18,10.66
12/4/18,10.63
12/5/18,10.65
12/6/18,10.66
12/7/18,10.68
12/8/18,10.68
12/9/18,10.68
12/10/18,10.68
12/11/18,10.68
12/12/18,10.7
12/13/18,10.74
12/14/18,10.75
12/15/18,10.75
12/16/18,10.75
12/17/18,10.75
12/18/18,10.76
12/19/18,10.76
12/20/18,10.74
12/21/18,10.74
12/22/18,10.74
12/23/18,10.74
12/24/18,10.76
12/25/18,10.76
12/26/18,10.76
12/27/18,10.75
12/28/18,10.76
12/29/18,10.76
12/30/18,10.76
12/31/18,10.77
1/1/19,10.77
1/2/19,10.78
1/3/19,10.77
1/4/19,10.76
1/5/19,10.76
1/6/19,10.76
1/7/19,10.77
1/8/19,10.78
1/9/19,10.83
1/10/19,10.82
1/11/19,10.88
1/12/19,10.88
1/13/19,10.88
1/14/19,10.91
1/15/19,10.92
1/16/19,10.93
1/17/19,10.93
1/18/19,10.92
1/19/19,10.92
1/20/19,10.92
1/21/19,10.93
1/22/19,10.96
1/23/19,10.98
1/24/19,11.08
1/25/19,11.07
1/26/19,11.07
1/27/19,11.07
1/28/19,11.14
1/29/19,11.14
1/30/19,11.14
1/31/19,11.22
2/1/19,11.22
2/2/19,11.22
2/3/19,11.22
2/4/19,11.22
2/5/19,11.22
2/6/19,11.22
2/7/19,11.22
2/8/19,11.22
2/9/19,11.22
2/10/19,11.22
2/11/19,11.3
2/12/19,11.3
2/13/19,11.3
2/14/19,11.3
2/15/19,11.3
2/16/19,11.3
2/17/19,11.3
2/18/19,11.3
2/19/19,11.38
2/20/19,11.38
2/21/19,11.38
2/22/19,11.38
2/23/19,11.38
2/24/19,11.38
2/25/19,11.38
2/26/19,11.38
2/27/19,11.38
2/28/19,11.38
3/1/19,11.38
3/2/19,11.38
3/3/19,11.38
3/4/19,11.46
3/5/19,11.46
3/6/19,11.46
3/7/19,11.46
3/8/19,11.46
3/9/19,11.46
3/10/19,11.46
3/11/19,11.46
3/12/19,11.54
3/13/19,11.54
3/14/19,11.54
3/15/19,11.62
3/16/19,11.62
3/17/19,11.62
3/18/19,11.62
3/19/19,11.62
3/20/19,11.62
3/21/19,11.61
3/22/19,11.69
3/23/19,11.69
3/24/19,11.69
3/25/19,11.69
3/26/19,11.7
3/27/19,11.7
3/28/19,11.7
3/29/19,11.7
3/30/19,11.7
3/31/19,11.7
4/1/19,11.7
4/2/19,11.7
4/3/19,11.7
4/4/19,11.7
4/5/19,11.7
4/6/19,11.7
4/7/19,11.7
4/8/19,11.69
4/9/19,11.68
4/10/19,11.68
4/11/19,11.69
4/12/19,11.69
4/13/19,11.69
4/14/19,11.69
4/15/19,11.68
4/16/19,11.69
4/17/19,11.69
4/18/19,11.69
4/19/19,11.69
4/20/19,11.69
4/21/19,11.69
4/22/19,11.69
4/23/19,11.69
4/24/19,11.76
4/25/19,11.77
4/26/19,11.77
4/27/19,11.77
4/28/19,11.77
4/29/19,11.77
4/30/19,11.77
5/1/19,11.77
