Date,CUAM China-Hong Kong Strategy A
11/13/18,11.16
11/14/18,11.12
11/15/18,11.3
11/16/18,11.27
11/17/18,11.27
11/18/18,11.27
11/19/18,11.26
11/20/18,11.06
11/21/18,11.18
11/22/18,11.2
11/23/18,11.14
11/24/18,11.14
11/25/18,11.14
11/26/18,11.27
11/27/18,11.26
11/28/18,11.37
11/29/18,11.34
11/30/18,11.4
12/1/18,11.4
12/2/18,11.4
12/3/18,11.67
12/4/18,11.64
12/5/18,11.53
12/6/18,11.25
12/7/18,11.17
12/8/18,11.17
12/9/18,11.17
12/10/18,11.04
12/11/18,11.07
12/12/18,11.21
12/13/18,11.3
12/14/18,11.17
12/15/18,11.17
12/16/18,11.17
12/17/18,11.1
12/18/18,11.02
12/19/18,10.98
12/20/18,10.89
12/21/18,10.86
12/22/18,10.86
12/23/18,10.86
12/24/18,10.82
12/25/18,10.82
12/26/18,10.82
12/27/18,10.83
12/28/18,10.89
12/29/18,10.89
12/30/18,10.89
12/31/18,10.94
1/1/19,10.94
1/2/19,10.82
1/3/19,10.73
1/4/19,10.99
1/5/19,10.99
1/6/19,10.99
1/7/19,11.08
1/8/19,11.14
1/9/19,11.36
1/10/19,11.41
1/11/19,11.46
1/12/19,11.46
1/13/19,11.46
1/14/19,11.36
1/15/19,11.59
1/16/19,11.66
1/17/19,11.62
1/18/19,11.79
1/19/19,11.79
1/20/19,11.79
1/21/19,11.84
1/22/19,11.75
1/23/19,11.74
1/24/19,11.81
1/25/19,12.02
1/26/19,12.02
1/27/19,12.02
1/28/19,12.01
1/29/19,12.0
1/30/19,12.1
1/31/19,12.24
2/1/19,12.23
2/2/19,12.23
2/3/19,12.23
2/4/19,12.29
2/5/19,12.29
