Date,E Fund (HK) China Equity Div A HKD Inc
9/25/16,94.98
9/26/16,93.18
9/27/16,94.34
9/28/16,93.97
9/29/16,94.03
9/30/16,93.22
10/1/16,93.22
10/2/16,93.22
10/3/16,93.22
10/4/16,93.22
10/5/16,93.22
10/6/16,93.22
10/7/16,93.22
10/8/16,93.22
10/9/16,93.22
10/10/16,93.22
10/11/16,93.3
10/12/16,92.72
10/13/16,92.05
10/14/16,92.21
10/15/16,92.21
10/16/16,92.21
10/17/16,91.47
10/18/16,92.81
10/19/16,92.47
10/20/16,92.34
10/21/16,92.34
10/22/16,92.34
10/23/16,92.34
10/24/16,93.59
10/25/16,93.86
10/26/16,93.28
10/27/16,93.24
10/28/16,92.74
10/29/16,92.74
10/30/16,92.74
10/31/16,92.46
11/1/16,92.68
11/2/16,91.26
11/3/16,90.69
11/4/16,90.19
11/5/16,90.19
11/6/16,90.19
11/7/16,91.19
11/8/16,91.9
11/9/16,90.75
11/10/16,91.13
11/11/16,89.08
11/12/16,89.08
11/13/16,89.08
11/14/16,87.51
11/15/16,87.57
11/16/16,88.13
11/17/16,88.04
11/18/16,87.99
11/19/16,87.99
11/20/16,87.99
11/21/16,88.17
11/22/16,88.75
11/23/16,88.73
11/24/16,88.78
11/25/16,88.94
11/26/16,88.94
11/27/16,88.94
11/28/16,89.56
11/29/16,89.53
11/30/16,89.11
12/1/16,88.89
12/2/16,88.82
12/3/16,88.82
12/4/16,88.82
12/5/16,88.53
12/6/16,89.2
12/7/16,89.8
12/8/16,90.08
12/9/16,89.87
12/10/16,89.87
12/11/16,89.87
12/12/16,88.53
12/13/16,88.82
12/14/16,88.54
12/15/16,87.47
12/16/16,87.49
12/17/16,87.49
12/18/16,87.49
12/19/16,86.86
12/20/16,86.24
12/21/16,86.52
12/22/16,85.75
12/23/16,85.2
12/24/16,85.2
12/25/16,85.2
12/26/16,85.2
12/27/16,85.2
12/28/16,85.75
12/29/16,85.99
12/30/16,86.85
12/31/16,86.85
1/1/17,86.85
1/2/17,86.85
1/3/17,86.94
1/4/17,87.73
1/5/17,88.64
1/6/17,88.6
1/7/17,88.6
1/8/17,88.6
1/9/17,88.82
1/10/17,89.15
1/11/17,89.66
1/12/17,89.37
1/13/17,89.61
1/14/17,89.61
1/15/17,89.61
1/16/17,89.19
1/17/17,89.74
1/18/17,90.43
1/19/17,90.3
1/20/17,90.24
1/21/17,90.24
1/22/17,90.24
1/23/17,90.63
1/24/17,91.31
1/25/17,91.92
1/26/17,92.79
1/27/17,92.79
1/28/17,92.79
1/29/17,92.79
1/30/17,92.79
1/31/17,92.79
2/1/17,92.79
2/2/17,92.79
2/3/17,91.84
2/4/17,91.84
2/5/17,91.84
2/6/17,92.55
2/7/17,92.31
2/8/17,93.06
2/9/17,93.3
2/10/17,93.47
2/11/17,93.47
2/12/17,93.47
2/13/17,94.44
2/14/17,94.33
2/15/17,94.04
2/16/17,94.46
2/17/17,93.92
2/18/17,93.92
2/19/17,93.92
2/20/17,94.32
2/21/17,94.85
2/22/17,96.4
2/23/17,95.65
2/24/17,94.02
2/25/17,94.02
2/26/17,94.02
2/27/17,93.69
2/28/17,93.38
3/1/17,93.96
3/2/17,93.62
3/3/17,93.27
3/4/17,93.27
3/5/17,93.27
3/6/17,93.51
3/7/17,93.79
3/8/17,94.36
3/9/17,93.47
3/10/17,93.69
3/11/17,93.69
3/12/17,93.69
3/13/17,95.4
3/14/17,95.55
3/15/17,95.53
3/16/17,97.18
3/17/17,96.74
3/18/17,96.74
3/19/17,96.74
3/20/17,97.41
3/21/17,97.52
3/22/17,96.94
3/23/17,97.72
3/24/17,97.81
3/25/17,97.81
3/26/17,97.81
3/27/17,96.46
3/28/17,97.19
3/29/17,97.53
3/30/17,97.35
3/31/17,96.81
4/1/17,96.81
4/2/17,96.81
4/3/17,96.81
4/4/17,96.81
4/5/17,97.84
4/6/17,97.92
4/7/17,97.85
4/8/17,97.85
4/9/17,97.85
4/10/17,97.36
4/11/17,96.87
4/12/17,97.15
4/13/17,96.95
4/14/17,96.95
4/15/17,96.95
4/16/17,96.95
4/17/17,96.95
4/18/17,95.81
4/19/17,95.79
4/20/17,96.74
4/21/17,96.84
4/22/17,96.84
4/23/17,96.84
4/24/17,96.88
4/25/17,98.05
4/26/17,98.41
4/27/17,97.86
4/28/17,97.79
4/29/17,97.79
4/30/17,97.79
5/1/17,97.79
5/2/17,98.35
5/3/17,98.35
5/4/17,97.51
5/5/17,96.45
5/6/17,96.45
5/7/17,96.45
5/8/17,97.05
5/9/17,98.18
5/10/17,98.88
5/11/17,98.99
5/12/17,98.89
5/13/17,98.89
5/14/17,98.89
5/15/17,99.39
5/16/17,101.32
5/17/17,100.95
5/18/17,99.87
5/19/17,100.4
5/20/17,100.4
5/21/17,100.4
5/22/17,101.96
5/23/17,101.36
5/24/17,100.94
5/25/17,101.25
5/26/17,100.98
5/27/17,100.98
5/28/17,100.98
5/29/17,100.98
5/30/17,100.98
5/31/17,101.11
6/1/17,102.55
6/2/17,103.13
6/3/17,103.13
6/4/17,103.13
6/5/17,103.15
6/6/17,103.0
6/7/17,104.2
6/8/17,104.2
6/9/17,105.57
6/10/17,105.57
6/11/17,105.57
6/12/17,104.65
6/13/17,105.47
6/14/17,105.09
6/15/17,104.04
6/16/17,104.08
6/17/17,104.08
6/18/17,104.08
6/19/17,106.12
6/20/17,106.54
6/21/17,107.56
6/22/17,107.19
6/23/17,108.44
6/24/17,108.44
6/25/17,108.44
6/26/17,108.74
6/27/17,108.17
6/28/17,106.63
6/29/17,106.72
6/30/17,105.9
7/1/17,105.9
7/2/17,105.9
7/3/17,107.13
7/4/17,105.6
7/5/17,107.33
7/6/17,107.49
7/7/17,108.06
7/8/17,108.06
7/9/17,108.06
7/10/17,108.19
7/11/17,109.35
7/12/17,110.42
7/13/17,111.49
7/14/17,111.99
7/15/17,111.99
7/16/17,111.99
7/17/17,112.3
7/18/17,114.21
7/19/17,115.76
7/20/17,115.51
7/21/17,114.5
7/22/17,114.5
7/23/17,114.5
7/24/17,116.54
7/25/17,115.83
7/26/17,115.53
7/27/17,116.06
7/28/17,116.26
7/29/17,116.26
7/30/17,116.26
7/31/17,117.22
8/1/17,116.52
8/2/17,115.97
8/3/17,115.35
8/4/17,116.56
8/5/17,116.56
8/6/17,116.56
8/7/17,119.91
8/8/17,120.26
8/9/17,120.83
8/10/17,118.85
8/11/17,115.14
8/12/17,115.14
8/13/17,115.14
8/14/17,118.11
8/15/17,118.45
8/16/17,119.52
8/17/17,119.07
8/18/17,118.74
8/19/17,118.74
8/20/17,118.74
8/21/17,119.42
8/22/17,119.89
8/23/17,119.89
8/24/17,119.67
8/25/17,120.46
8/26/17,120.46
8/27/17,120.46
8/28/17,120.44
8/29/17,120.51
8/30/17,121.55
8/31/17,122.14
9/1/17,122.71
9/2/17,122.71
9/3/17,122.71
9/4/17,122.51
9/5/17,122.69
9/6/17,122.83
9/7/17,123.9
9/8/17,123.27
9/9/17,123.27
9/10/17,123.27
9/11/17,124.3
9/12/17,127.1
9/13/17,128.26
9/14/17,128.37
9/15/17,128.66
9/16/17,128.66
9/17/17,128.66
9/18/17,130.18
9/19/17,129.62
9/20/17,130.41
9/21/17,130.41
9/22/17,129.02
9/23/17,129.02
9/24/17,129.02
9/25/17,124.4
9/26/17,123.99
9/27/17,124.66
9/28/17,124.48
9/29/17,124.97
9/30/17,124.97
10/1/17,124.97
10/2/17,124.97
10/3/17,124.97
10/4/17,124.97
10/5/17,124.97
10/6/17,124.97
10/7/17,124.97
10/8/17,124.97
10/9/17,128.04
10/10/17,129.12
10/11/17,128.8
10/12/17,128.61
10/13/17,128.77
10/14/17,128.77
10/15/17,128.77
10/16/17,130.03
10/17/17,129.08
10/18/17,130.06
10/19/17,128.45
10/20/17,129.61
10/21/17,129.61
10/22/17,129.61
10/23/17,129.03
10/24/17,128.43
10/25/17,128.29
10/26/17,127.26
10/27/17,128.55
10/28/17,128.55
10/29/17,128.55
10/30/17,128.34
10/31/17,129.87
11/1/17,129.87
11/2/17,130.91
11/3/17,132.15
11/4/17,132.15
11/5/17,132.15
11/6/17,134.78
11/7/17,135.43
11/8/17,135.82
11/9/17,137.51
11/10/17,139.4
11/11/17,139.4
11/12/17,139.4
11/13/17,140.04
11/14/17,139.07
11/15/17,136.93
11/16/17,139.47
11/17/17,140.2
11/18/17,140.2
11/19/17,140.2
11/20/17,140.76
11/21/17,144.28
11/22/17,142.7
11/23/17,138.41
11/24/17,139.58
11/25/17,139.58
11/26/17,139.58
11/27/17,137.21
11/28/17,138.09
11/29/17,137.73
11/30/17,135.65
12/1/17,134.99
12/2/17,134.99
12/3/17,134.99
12/4/17,136.07
12/5/17,135.07
12/6/17,132.98
12/7/17,133.4
12/8/17,135.9
12/9/17,135.9
12/10/17,135.9
12/11/17,138.82
12/12/17,137.17
12/13/17,139.08
12/14/17,139.94
12/15/17,137.34
12/16/17,137.34
12/17/17,137.34
12/18/17,137.6
12/19/17,139.0
12/20/17,138.75
12/21/17,140.27
12/22/17,140.67
12/23/17,140.67
12/24/17,140.67
12/25/17,140.67
12/26/17,140.67
12/27/17,138.84
12/28/17,140.81
12/29/17,141.94
12/30/17,141.94
12/31/17,141.94
1/1/18,141.94
1/2/18,144.53
1/3/18,146.21
1/4/18,148.19
1/5/18,148.01
1/6/18,148.01
1/7/18,148.01
1/8/18,149.68
1/9/18,150.95
1/10/18,150.87
1/11/18,149.88
1/12/18,153.35
1/13/18,153.35
1/14/18,153.35
1/15/18,151.75
1/16/18,153.04
1/17/18,152.35
1/18/18,152.25
1/19/18,153.19
1/20/18,153.19
1/21/18,153.19
1/22/18,155.36
1/23/18,157.61
1/24/18,156.91
1/25/18,154.57
1/26/18,155.66
1/27/18,155.66
1/28/18,155.66
1/29/18,153.01
1/30/18,151.92
1/31/18,153.47
2/1/18,151.62
2/2/18,151.57
2/3/18,151.57
2/4/18,151.57
2/5/18,149.39
2/6/18,142.31
2/7/18,140.83
2/8/18,140.76
2/9/18,135.75
2/10/18,135.75
2/11/18,135.75
2/12/18,137.48
2/13/18,139.52
2/14/18,141.5
2/15/18,141.5
2/16/18,141.5
2/17/18,141.5
2/18/18,141.5
2/19/18,141.5
2/20/18,141.5
2/21/18,141.5
2/22/18,145.02
2/23/18,147.29
2/24/18,147.29
2/25/18,147.29
2/26/18,149.38
2/27/18,146.94
2/28/18,145.29
3/1/18,145.88
3/2/18,143.8
3/3/18,143.8
3/4/18,143.8
3/5/18,142.29
3/6/18,144.59
3/7/18,143.99
3/8/18,146.43
3/9/18,147.9
3/10/18,147.9
3/11/18,147.9
3/12/18,149.48
3/13/18,148.16
3/14/18,147.43
3/15/18,148.61
3/16/18,147.72
3/17/18,147.72
3/18/18,147.72
3/19/18,149.0
3/20/18,152.29
3/21/18,149.77
3/22/18,147.49
3/23/18,144.69
3/24/18,144.69
3/25/18,144.69
3/26/18,146.74
3/27/18,147.74
3/28/18,144.71
3/29/18,144.5
3/30/18,144.5
3/31/18,144.5
4/1/18,144.5
4/2/18,144.5
4/3/18,144.56
4/4/18,143.82
4/5/18,143.82
4/6/18,143.82
4/7/18,143.82
4/8/18,143.82
4/9/18,146.14
4/10/18,147.06
4/11/18,147.26
4/12/18,147.77
4/13/18,146.63
4/14/18,146.63
4/15/18,146.63
4/16/18,145.71
4/17/18,144.24
4/18/18,144.1
4/19/18,144.94
4/20/18,143.48
4/21/18,143.48
4/22/18,143.48
4/23/18,142.86
4/24/18,144.51
4/25/18,144.94
4/26/18,144.09
4/27/18,146.26
4/28/18,146.26
4/29/18,146.26
4/30/18,146.26
5/1/18,146.26
5/2/18,149.05
5/3/18,148.35
5/4/18,147.35
5/5/18,147.35
5/6/18,147.35
5/7/18,148.94
5/8/18,150.26
5/9/18,151.24
5/10/18,152.37
5/11/18,152.83
5/12/18,152.83
5/13/18,152.83
5/14/18,156.95
5/15/18,157.58
5/16/18,158.02
5/17/18,157.51
5/18/18,158.25
5/19/18,158.25
5/20/18,158.25
5/21/18,159.31
5/22/18,159.31
5/23/18,158.89
5/24/18,159.13
5/25/18,159.47
5/26/18,159.47
5/27/18,159.47
5/28/18,163.52
5/29/18,159.84
5/30/18,158.87
5/31/18,162.54
6/1/18,160.61
6/2/18,160.61
6/3/18,160.61
6/4/18,162.43
6/5/18,162.84
6/6/18,164.16
6/7/18,163.91
6/8/18,162.3
6/9/18,162.3
6/10/18,162.3
6/11/18,163.48
6/12/18,165.43
6/13/18,163.97
6/14/18,163.72
6/15/18,161.72
6/16/18,161.72
6/17/18,161.72
6/18/18,161.72
6/19/18,156.52
6/20/18,158.52
6/21/18,157.49
6/22/18,158.38
6/23/18,158.38
6/24/18,158.38
6/25/18,155.37
6/26/18,154.75
6/27/18,151.83
6/28/18,151.34
6/29/18,153.46
6/30/18,153.46
7/1/18,153.46
7/2/18,153.46
7/3/18,151.12
7/4/18,150.31
7/5/18,149.34
7/6/18,150.58
7/7/18,150.58
7/8/18,150.58
7/9/18,153.01
7/10/18,152.76
7/11/18,151.15
7/12/18,153.31
7/13/18,153.64
7/14/18,153.64
7/15/18,153.64
7/16/18,155.24
7/17/18,154.06
7/18/18,153.85
7/19/18,152.62
7/20/18,153.13
7/21/18,153.13
7/22/18,153.13
7/23/18,152.68
7/24/18,153.11
7/25/18,153.8
7/26/18,152.52
7/27/18,151.57
7/28/18,151.57
7/29/18,151.57
7/30/18,150.45
7/31/18,150.66
8/1/18,150.04
8/2/18,148.41
8/3/18,148.01
8/4/18,148.01
8/5/18,148.01
8/6/18,147.29
8/7/18,148.71
8/8/18,148.79
8/9/18,150.4
8/10/18,150.26
8/11/18,150.26
8/12/18,150.26
8/13/18,148.88
8/14/18,148.73
8/15/18,145.63
8/16/18,145.61
8/17/18,146.49
8/18/18,146.49
8/19/18,146.49
8/20/18,148.31
8/21/18,148.52
8/22/18,148.22
8/23/18,147.59
8/24/18,147.15
8/25/18,147.15
8/26/18,147.15
8/27/18,148.21
8/28/18,148.79
8/29/18,149.24
8/30/18,148.39
8/31/18,147.78
9/1/18,147.78
9/2/18,147.78
9/3/18,147.76
9/4/18,148.23
9/5/18,145.97
9/6/18,145.45
9/7/18,145.47
9/8/18,145.47
9/9/18,145.47
9/10/18,144.98
9/11/18,144.79
9/12/18,145.67
9/13/18,147.42
9/14/18,148.21
9/15/18,148.21
9/16/18,148.21
9/17/18,147.29
9/18/18,148.4
9/19/18,148.54
9/20/18,149.11
9/21/18,149.11
9/22/18,149.11
9/23/18,149.11
9/24/18,149.11
9/25/18,149.11
9/26/18,147.91
9/27/18,148.41
9/28/18,149.2
9/29/18,149.2
9/30/18,149.2
10/1/18,149.2
10/2/18,149.2
10/3/18,149.2
10/4/18,149.2
10/5/18,149.2
10/6/18,149.2
10/7/18,149.2
10/8/18,143.41
10/9/18,143.4
10/10/18,143.5
10/11/18,140.49
10/12/18,142.57
10/13/18,142.57
10/14/18,142.57
10/15/18,140.88
10/16/18,140.74
10/17/18,140.74
10/18/18,139.99
10/19/18,141.19
10/20/18,141.19
10/21/18,141.19
10/22/18,143.2
10/23/18,139.25
10/24/18,139.09
10/25/18,138.86
10/26/18,136.53
10/27/18,136.53
10/28/18,136.53
10/29/18,133.53
10/30/18,133.04
10/31/18,135.26
11/1/18,138.97
11/2/18,144.33
11/3/18,144.33
11/4/18,144.33
11/5/18,141.59
11/6/18,142.36
11/7/18,143.87
11/8/18,144.52
11/9/18,141.64
11/10/18,141.64
11/11/18,141.64
11/12/18,141.59
11/13/18,142.26
11/14/18,141.38
11/15/18,142.93
11/16/18,142.61
11/17/18,142.61
11/18/18,142.61
11/19/18,142.34
11/20/18,140.98
11/21/18,141.05
11/22/18,140.9
11/23/18,140.09
11/24/18,140.09
11/25/18,140.09
11/26/18,140.19
11/27/18,139.85
11/28/18,140.73
11/29/18,141.11
11/30/18,141.07
12/1/18,141.07
12/2/18,141.07
12/3/18,141.43
12/4/18,143.03
12/5/18,142.36
12/6/18,141.82
12/7/18,142.2
12/8/18,142.2
12/9/18,142.2
12/10/18,142.09
12/11/18,143.26
12/12/18,143.0
12/13/18,143.59
12/14/18,143.51
12/15/18,143.51
12/16/18,143.51
12/17/18,143.96
12/18/18,143.49
12/19/18,143.15
12/20/18,143.12
12/21/18,141.73
12/22/18,141.73
12/23/18,141.73
12/24/18,142.22
12/25/18,142.22
12/26/18,142.22
12/27/18,142.45
12/28/18,142.58
12/29/18,142.58
12/30/18,142.58
12/31/18,142.58
1/1/19,142.58
1/2/19,141.63
1/3/19,141.18
1/4/19,143.13
1/5/19,143.13
1/6/19,143.13
1/7/19,144.53
1/8/19,144.82
1/9/19,145.01
1/10/19,144.89
1/11/19,145.86
1/12/19,145.86
1/13/19,145.86
1/14/19,145.06
1/15/19,148.11
1/16/19,148.72
1/17/19,146.58
1/18/19,147.35
1/19/19,147.35
1/20/19,147.35
1/21/19,147.22
1/22/19,147.15
1/23/19,149.5
1/24/19,150.38
1/25/19,151.04
1/26/19,151.04
1/27/19,151.04
1/28/19,150.59
1/29/19,150.4
1/30/19,150.81
1/31/19,151.35
2/1/19,151.51
2/2/19,151.51
2/3/19,151.51
2/4/19,151.51
2/5/19,151.51
2/6/19,151.51
2/7/19,151.51
2/8/19,151.51
2/9/19,151.51
2/10/19,151.51
2/11/19,153.4
2/12/19,154.14
2/13/19,157.5
2/14/19,158.23
2/15/19,155.9
2/16/19,155.9
2/17/19,155.9
2/18/19,157.73
2/19/19,157.38
2/20/19,158.69
2/21/19,160.33
2/22/19,163.17
2/23/19,163.17
2/24/19,163.17
2/25/19,166.99
2/26/19,164.71
2/27/19,162.77
2/28/19,163.52
3/1/19,166.39
3/2/19,166.39
3/3/19,166.39
3/4/19,167.57
3/5/19,167.25
3/6/19,167.38
3/7/19,164.24
3/8/19,160.32
3/9/19,160.32
3/10/19,160.32
3/11/19,164.03
3/12/19,166.66
3/13/19,163.93
3/14/19,161.8
3/15/19,162.91
3/16/19,162.91
3/17/19,162.91
3/18/19,166.04
3/19/19,165.59
3/20/19,163.64
3/21/19,163.0
3/22/19,162.5
3/23/19,162.5
3/24/19,162.5
3/25/19,160.21
3/26/19,159.44
3/27/19,159.28
3/28/19,158.28
3/29/19,162.47
3/30/19,162.47
3/31/19,162.47
4/1/19,165.81
4/2/19,165.91
4/3/19,167.39
4/4/19,167.46
4/5/19,167.46
4/6/19,167.46
4/7/19,167.46
4/8/19,167.73
4/9/19,169.08
4/10/19,168.83
4/11/19,166.06
4/12/19,167.28
4/13/19,167.28
4/14/19,167.28
4/15/19,166.08
4/16/19,167.34
4/17/19,169.22
4/18/19,168.54
4/19/19,168.54
4/20/19,168.54
4/21/19,168.54
4/22/19,168.54
4/23/19,166.48
4/24/19,167.02
4/25/19,163.45
4/26/19,162.92
4/27/19,162.92
4/28/19,162.92
4/29/19,164.2
4/30/19,163.56
5/1/19,163.56
5/2/19,163.56
5/3/19,163.56
5/4/19,163.56
5/5/19,163.56
5/6/19,157.66
5/7/19,158.51
5/8/19,156.12
5/9/19,151.12
5/10/19,154.71
5/11/19,154.71
5/12/19,154.71
5/13/19,154.71
5/14/19,151.18
5/15/19,153.99
5/16/19,153.5
5/17/19,149.98
5/18/19,149.98
5/19/19,149.98
5/20/19,146.59
5/21/19,146.95
5/22/19,147.07
5/23/19,144.52
5/24/19,143.78
5/25/19,143.78
5/26/19,143.78
5/27/19,144.44
5/28/19,146.08
5/29/19,145.38
5/30/19,144.74
5/31/19,144.52
6/1/19,144.52
6/2/19,144.52
6/3/19,144.71
6/4/19,143.59
6/5/19,144.23
6/6/19,144.09
6/7/19,144.09
6/8/19,144.09
6/9/19,144.09
6/10/19,146.58
6/11/19,148.44
6/12/19,146.67
6/13/19,146.9
6/14/19,145.98
6/15/19,145.98
6/16/19,145.98
6/17/19,146.16
6/18/19,147.49
6/19/19,150.33
6/20/19,153.15
6/21/19,153.04
6/22/19,153.04
6/23/19,153.04
6/24/19,153.16
6/25/19,151.22
6/26/19,151.96
6/27/19,153.55
6/28/19,153.24
6/29/19,153.24
6/30/19,153.24
7/1/19,153.24
7/2/19,156.46
7/3/19,155.4
7/4/19,154.95
7/5/19,155.43
7/6/19,155.43
7/7/19,155.43
7/8/19,153.2
7/9/19,152.82
7/10/19,153.32
7/11/19,153.85
7/12/19,153.84
7/13/19,153.84
7/14/19,153.84
7/15/19,154.22
7/16/19,153.62
7/17/19,153.3
7/18/19,152.94
7/19/19,154.05
7/20/19,154.05
7/21/19,154.05
7/22/19,152.8
7/23/19,153.75
7/24/19,154.2
7/25/19,155.21
7/26/19,153.74
7/27/19,153.74
7/28/19,153.74
7/29/19,152.82
7/30/19,152.81
7/31/19,152.81
8/1/19,150.04
8/2/19,147.52
8/3/19,147.52
8/4/19,147.52
8/5/19,143.9
8/6/19,142.96
8/7/19,144.01
8/8/19,145.19
8/9/19,144.15
8/10/19,144.15
8/11/19,144.15
8/12/19,144.32
8/13/19,143.69
8/14/19,144.01
8/15/19,144.06
8/16/19,146.3
8/17/19,146.3
8/18/19,146.3
8/19/19,148.93
8/20/19,149.56
8/21/19,149.58
8/22/19,149.36
8/23/19,150.24
8/24/19,150.24
8/25/19,150.24
8/26/19,147.9
8/27/19,148.72
8/28/19,148.16
