Date,Harvest China Equity A HKD Acc
12/19/15,104.63
12/20/15,104.63
12/21/15,104.83
12/22/15,104.92
12/23/15,106.23
12/24/15,106.71
12/25/15,106.71
12/26/15,106.71
12/27/15,106.71
12/28/15,105.87
12/29/15,105.96
12/30/15,105.59
12/31/15,105.96
1/1/16,105.96
1/2/16,105.96
1/3/16,105.96
1/4/16,102.61
1/5/16,101.72
1/6/16,101.38
1/7/16,97.69
1/8/16,98.08
1/9/16,98.08
1/10/16,98.08
1/11/16,94.9
1/12/16,93.72
1/13/16,94.99
1/14/16,94.25
1/15/16,92.81
1/16/16,92.81
1/17/16,92.81
1/18/16,91.58
1/19/16,94.19
1/20/16,91.01
1/21/16,89.25
1/22/16,91.94
1/23/16,91.94
1/24/16,91.94
1/25/16,92.97
1/26/16,90.49
1/27/16,90.86
1/28/16,91.07
1/29/16,93.15
1/30/16,93.15
1/31/16,93.15
2/1/16,92.98
2/2/16,92.6
2/3/16,90.59
2/4/16,91.26
2/5/16,91.96
2/6/16,91.96
2/7/16,91.96
2/8/16,91.96
2/9/16,91.96
2/10/16,91.96
2/11/16,87.96
2/12/16,86.35
2/13/16,86.35
2/14/16,86.35
2/15/16,89.47
2/16/16,90.79
2/17/16,90.49
2/18/16,92.84
2/19/16,92.55
2/20/16,92.55
2/21/16,92.55
2/22/16,93.46
2/23/16,93.29
2/24/16,92.18
2/25/16,90.6
2/26/16,92.35
2/27/16,92.35
2/28/16,92.35
2/29/16,90.54
3/1/16,92.08
3/2/16,95.19
3/3/16,94.98
3/4/16,96.31
3/5/16,96.31
3/6/16,96.31
3/7/16,97.13
3/8/16,96.42
3/9/16,95.61
3/10/16,95.66
3/11/16,96.87
3/12/16,96.87
3/13/16,96.87
3/14/16,98.36
3/15/16,97.4
3/16/16,96.75
3/17/16,98.66
3/18/16,99.78
3/19/16,99.78
3/20/16,99.78
3/21/16,100.31
3/22/16,100.01
3/23/16,99.99
3/24/16,98.62
3/25/16,98.62
3/26/16,98.62
3/27/16,98.62
3/28/16,98.62
3/29/16,98.63
3/30/16,100.73
3/31/16,101.04
4/1/16,99.83
4/2/16,99.83
4/3/16,99.83
4/4/16,99.83
4/5/16,98.7
4/6/16,98.6
4/7/16,98.95
4/8/16,98.83
4/9/16,98.83
4/10/16,98.83
4/11/16,99.84
4/12/16,100.23
4/13/16,103.37
4/14/16,104.26
4/15/16,103.98
4/16/16,103.98
4/17/16,103.98
4/18/16,103.12
4/19/16,104.02
4/20/16,102.73
4/21/16,103.99
4/22/16,102.78
4/23/16,102.78
4/24/16,102.78
4/25/16,101.54
4/26/16,101.56
4/27/16,101.38
4/28/16,101.45
4/29/16,100.35
4/30/16,100.35
5/1/16,100.35
5/2/16,100.35
5/3/16,98.96
5/4/16,98.49
5/5/16,97.75
5/6/16,96.67
5/7/16,96.67
5/8/16,96.67
5/9/16,96.2
5/10/16,96.19
5/11/16,96.18
5/12/16,95.69
5/13/16,94.52
5/14/16,94.52
5/15/16,94.52
5/16/16,95.0
5/17/16,96.29
5/18/16,95.27
5/19/16,94.38
5/20/16,94.99
5/21/16,94.99
5/22/16,94.99
5/23/16,95.21
5/24/16,94.93
5/25/16,97.21
5/26/16,96.84
5/27/16,97.94
5/28/16,97.94
5/29/16,97.94
5/30/16,98.65
5/31/16,99.5
6/1/16,99.72
6/2/16,99.59
6/3/16,99.94
6/4/16,99.94
6/5/16,99.94
6/6/16,100.02
6/7/16,101.8
6/8/16,101.47
6/9/16,101.47
6/10/16,99.8
6/11/16,99.8
6/12/16,99.8
6/13/16,97.37
6/14/16,96.97
6/15/16,97.68
6/16/16,96.37
6/17/16,96.71
6/18/16,96.71
6/19/16,96.71
6/20/16,97.58
6/21/16,98.67
6/22/16,99.7
6/23/16,99.93
6/24/16,97.99
6/25/16,97.99
6/26/16,97.99
6/27/16,97.95
6/28/16,97.23
6/29/16,98.64
6/30/16,100.57
7/1/16,100.57
7/2/16,100.57
7/3/16,100.57
7/4/16,101.66
7/5/16,100.41
7/6/16,99.54
7/7/16,100.2
7/8/16,100.04
7/9/16,100.04
7/10/16,100.04
7/11/16,101.21
7/12/16,102.96
7/13/16,103.55
7/14/16,104.05
7/15/16,104.34
7/16/16,104.34
7/17/16,104.34
7/18/16,104.58
7/19/16,104.04
7/20/16,104.46
7/21/16,105.43
7/22/16,105.13
7/23/16,105.13
