Date,Franklin Biotechnology Discv A(acc)HKD
2/4/16,16.33
2/5/16,15.72
2/6/16,15.72
2/7/16,15.72
2/8/16,15.08
2/9/16,15.16
2/10/16,15.27
2/11/16,15.08
2/12/16,15.46
2/13/16,15.46
2/14/16,15.46
2/15/16,15.45
2/16/16,15.94
2/17/16,16.36
2/18/16,15.89
2/19/16,16.0
2/20/16,16.0
2/21/16,16.0
2/22/16,16.19
2/23/16,15.65
2/24/16,15.76
2/25/16,15.7
2/26/16,15.85
2/27/16,15.85
2/28/16,15.85
2/29/16,15.47
3/1/16,16.04
3/2/16,16.3
3/3/16,16.17
3/4/16,16.14
3/5/16,16.14
3/6/16,16.14
3/7/16,16.49
3/8/16,15.88
3/9/16,15.7
3/10/16,15.51
3/11/16,15.92
3/12/16,15.92
3/13/16,15.92
3/14/16,16.02
3/15/16,15.37
3/16/16,15.21
3/17/16,15.05
3/18/16,15.37
3/19/16,15.37
3/20/16,15.37
3/21/16,15.71
3/22/16,16.07
3/23/16,15.45
3/24/16,15.53
3/25/16,15.53
3/26/16,15.53
3/27/16,15.53
3/28/16,15.38
3/29/16,15.71
3/30/16,15.63
3/31/16,16.12
4/1/16,16.53
4/2/16,16.53
4/3/16,16.53
4/4/16,16.75
4/5/16,16.72
4/6/16,17.7
4/7/16,17.42
4/8/16,17.24
4/9/16,17.24
4/10/16,17.24
4/11/16,16.9
4/12/16,17.07
4/13/16,17.42
4/14/16,17.47
4/15/16,17.46
4/16/16,17.46
4/17/16,17.46
4/18/16,17.68
4/19/16,17.37
4/20/16,17.36
4/21/16,17.78
4/22/16,17.88
4/23/16,17.88
4/24/16,17.88
4/25/16,17.77
4/26/16,17.48
4/27/16,17.26
4/28/16,17.2
4/29/16,16.73
4/30/16,16.73
5/1/16,16.73
5/2/16,16.95
5/3/16,16.64
5/4/16,16.11
5/5/16,16.06
5/6/16,15.9
5/7/16,15.9
5/8/16,15.9
5/9/16,16.35
5/10/16,16.46
5/11/16,15.97
5/12/16,15.68
5/13/16,15.84
5/14/16,15.84
5/15/16,15.84
5/16/16,16.44
5/17/16,16.28
5/18/16,16.47
5/19/16,16.29
5/20/16,16.66
5/21/16,16.66
5/22/16,16.66
5/23/16,16.81
5/24/16,17.18
5/25/16,17.38
5/26/16,17.23
5/27/16,17.42
5/28/16,17.42
5/29/16,17.42
5/30/16,17.42
5/31/16,17.75
6/1/16,17.79
6/2/16,18.12
6/3/16,17.85
6/4/16,17.85
6/5/16,17.85
6/6/16,18.11
6/7/16,17.7
6/8/16,17.67
6/9/16,17.37
6/10/16,17.01
6/11/16,17.01
6/12/16,17.01
6/13/16,16.71
6/14/16,16.59
6/15/16,16.59
6/16/16,16.58
6/17/16,16.23
6/18/16,16.23
6/19/16,16.23
6/20/16,16.4
6/21/16,16.1
6/22/16,16.16
6/23/16,16.55
6/24/16,15.84
6/25/16,15.84
6/26/16,15.84
6/27/16,15.38
6/28/16,15.92
6/29/16,16.31
6/30/16,16.38
7/1/16,16.68
7/2/16,16.68
7/3/16,16.68
7/4/16,16.68
7/5/16,16.52
7/6/16,16.87
7/7/16,16.95
7/8/16,17.18
7/9/16,17.18
7/10/16,17.18
7/11/16,17.15
7/12/16,17.29
7/13/16,16.89
7/14/16,16.89
7/15/16,17.14
7/16/16,17.14
7/17/16,17.14
7/18/16,17.18
7/19/16,16.88
7/20/16,17.3
7/21/16,17.55
7/22/16,17.61
7/23/16,17.61
7/24/16,17.61
7/25/16,17.62
7/26/16,17.49
7/27/16,17.94
7/28/16,17.93
7/29/16,18.01
7/30/16,18.01
7/31/16,18.01
8/1/16,18.24
8/2/16,18.27
8/3/16,18.5
8/4/16,18.3
8/5/16,18.45
8/6/16,18.45
8/7/16,18.45
8/8/16,18.25
8/9/16,18.25
8/10/16,17.85
8/11/16,18.04
8/12/16,18.14
8/13/16,18.14
8/14/16,18.14
8/15/16,18.34
8/16/16,18.11
8/17/16,18.12
8/18/16,18.15
